Overall,Name,Nation,AKA
66,Jewison Bennette,Costa Rica,
66,Leider Berdugo,Colombia,
66,Gustav Berggren,Sweden,
66,Emiliano Bermúdez,Uruguay,
66,Alexander Bernhardsson,Sweden,
66,Steeve Beusnard,France,
66,Merveille Biankadi,Germany,
66,Tom Bischof,Germany,
66,José Bizama,Chile,
66,John Björkengren,Sweden,
66,Sondre Flem Bjørshol,Norway,
66,Jamal Blackman,England,
66,Emmanuel Boateng,Ghana,
66,Billy Bodin,Wales,
66,Darijan Bojanić,Sweden,
66,Kévin Boli,Côte d'Ivoire,
66,Bendegúz Bolla,Hungary,
66,Alexandre Bonnet,France,
66,Christopher Bonsu Baah,Ghana,
66,Marco Borgnino,Argentina,
66,Osvaldo Bosso,Chile,
66,Kenji-Van Boto,Madagascar,
66,Carlo Boukhalfa,Germany,
66,Aymen Boutoutaou,Algeria,
66,Ruben Bover,Spain,
66,William Bøving,Denmark,
66,Chris Brady,United States,
66,Christopher Braun,Germany,
66,Juanma Bravo,Spain,
66,Pascal Breier,Germany,
66,Marco Brescianini,Italy,
66,Joshua Brillante,Australia,
66,Jérémie Broh,Italy,
66,Javain Brown,Jamaica,
66,Ciaron Brown,Northern Ireland,
66,Alexander Brunst,Germany,
66,Charles-Andreas Brym,Canada,
66,Buatu,Angola,
66,Roman Buess,Switzerland,
66,Thomas Buitink,Netherlands,
66,Oliver Bundgaard,Denmark,
66,Max Burgess,Australia,
66,Graham Burke,Republic of Ireland,
66,Rocky Bushiri,Congo DR,
66,Jakob Busk,Denmark,
66,Ezequiel Busquets,Uruguay,
66,Álvaro Bustos,Spain,
66,Mihai Butean,Romania,
66,Juan David Cabal,Colombia,
66,Carlos Cabello,Peru,
66,Cătălin Căbuz,Romania,
66,Cai Huikang,China PR,
66,Luis Caicedo,Colombia,
66,Abdulkerim Çakar,Turkey,
66,Pablo Camacho,Venezuela,
66,Lamine Camara,Senegal,
66,Álvaro Campuzano,Paraguay,
66,Luis Cano,Ecuador,
66,Mihai Căpățînă,Romania,
66,Édgar Carrión,Venezuela,
66,Florian Carstens,Germany,
66,Cesare Casadei,Italy,
66,Marcin Cebula,Poland,
66,Junior Cedeño,Venezuela,
66,Joseph Ceesay,Sweden,
66,Maximiliano Centurión,Argentina,
66,Giuliano Cerato,Argentina,
66,Carlos Cermeño,Venezuela,
66,Boris Cespedes,Bolivia,
66,Sava-Arangel Čestić,Serbia,
66,Mike Cestor,Congo DR,
66,Tarık Çetin,Turkey,
66,Wálter Chalá,Ecuador,
66,Edinson Chávez,Peru,
66,Sunil Chhetri,India,
66,Alexandru Chipciu,Romania,
66,Kacper Chodyna,Poland,
66,Agustín Chopitea,Uruguay,
66,Joris Chougrani,France,
66,Andreas Christodoulou,Cyprus,
66,George Cîmpanu,Romania,
66,Till Cissokho,France,
66,Pelle Clement,Netherlands,
66,Alexandre Coeff,France,
66,Devante Cole,England,
66,James Collins,Republic of Ireland,
66,Racine Coly,Senegal,
66,Gabriel Compagnucci,Argentina,
66,Christian Conteh,Germany,
66,Tommy Conway,Scotland,
66,Andy Cook,England,
66,Theo Corbeanu,Canada,
66,Mael Corboz,United States,
66,Sergio Córdova,Venezuela,
66,Fernando Cornejo,Chile,
66,Ramón Coronel,Paraguay,
66,Tomás Silva,Portugal,
66,Cristian Costin,Romania,
66,Jordan Cousins,Jamaica,
66,Néstor Cova,Venezuela,
66,Nemanja Covic,Serbia,
66,Ljuban Crepulja,Croatia,
66,Saúl Crespo,Spain,
66,Alejo Cruz,Uruguay,
66,Luke Cundle,England,
66,Marvin Çuni,Albania,
66,Lovro Cvek,Croatia,
66,Christopher Cvetko,Austria,
66,Luca D'Andrea,Italy,
66,André Luís,Brazil,
66,Josh Dacres-Cogley,England,
66,Renat Dadashov,Azerbaijan,
66,Dalmau,Spain,
66,Vitalie Damascan,Moldova,
66,Misael Dávila,Chile,
66,Maël de Gevigney,France,
66,Lautaro,Uruguay,
66,Juan Cruz De Los Santos,Uruguay,
66,Daniel De Silva,Australia,
66,Koni De Winter,Belgium,
66,Yannick Deichmann,Germany,
66,Mats Deijl,Netherlands,
66,Maxim Dekker,Netherlands,
66,Luis Del Pino Mago,Venezuela,
66,Moi Delgado,Spain,
66,Delmás,Spain,
66,Yohan Demoncy,France,
66,Kyle Dempsey,England,
66,Valentín Depietri,Argentina,
66,Pape Djibril Diaw,Senegal,
66,Diomar Díaz,Venezuela,
66,Victor Dican,Romania,
66,Adrián Diéguez,Spain,
66,Lars Dietz,Germany,
66,Ismaël Diomandé,Côte d'Ivoire,
66,Maximilian Dittgen,Germany,
66,Mohamed Djetei,Cameroon,
66,Toni Domgjoni,Kosovo,
66,Jerónimo Domina,Argentina,
66,John Donald,Spain,
66,Mehdi Dorval,France,
66,Anderson,Brazil,
66,Hassani Dotson,United States,
66,Barry Douglas,Scotland,
66,Couhaib Driouech,Netherlands,
66,Michael Duffy,Republic of Ireland,
66,Bryce Duke,United States,
66,Andres Dumitrescu,Romania,
66,Julien Duranville,Belgium,
66,Chris Durkin,United States,
66,Tomás Durso,Argentina,
66,César,Brazil,
66,Sampson Dweh,Liberia,
66,Malcolm Ebiowei,England,
66,George Edmundson,England,
66,Tayo Edun,England,
66,Curtis Edwards,England,
66,Vitus Eicher,Germany,
66,Jacques Ekomié,Gabon,
66,Neil El Aynaoui,France,
66,Omar El Hilali,Morocco,
66,Simon Elisor,France,
66,Martin Ellingsen,Norway,
66,Bartuğ Elmaz,Turkey,
66,Elliot Embleton,England,
66,Erik Engelhardt,Germany,
66,Okan Erdoğan,Turkey,
66,Ethan Erhahon,Scotland,
66,Tomás Escalante,Argentina,
66,Dani Escriche,Spain,
66,Jhon Espinoza,Ecuador,
66,Felipe Espinoza,Chile,
66,Juan Espitia,Colombia,
66,Santiago Etchebarne,Uruguay,
66,Kion Etete,England,
66,Neil Etheridge,Philippines,
66,Corry Evans,Northern Ireland,
66,Erik Expósito,Spain,
66,Brooklyn Ezeh,Germany,
66,Nené,Portugal,
66,Ivo Pinto,Portugal,
66,Konrad Faber,Germany,
66,Andrej Fábry,Slovakia,
66,Caín Fara,Argentina,
66,Paolo Faragò,Italy,
66,Luis Fariña,Argentina,
66,Jacopo Fazzini,Italy,
66,Adrian Fein,Germany,
66,Mads Fenger,Denmark,
66,Arianit Ferati,Kosovo,
66,Nathan Ferguson,England,
66,Damián Fernández,Argentina,
66,Dani Fernández,Spain,
66,Andrés Ferrari,Uruguay,
66,Gabriele Ferrarini,Italy,
66,Ioannis Fetfatzidis,Greece,
66,Riccardo Fiamozzi,Italy,
66,Richard Figueroa,Venezuela,
66,Ioan Filip,Romania,
66,Kian Fitz-Jim,Netherlands,
66,Florian Flecker,Austria,
66,Felipe Flores,Chile,
66,Mamadou Fofana,France,
66,Boubacar Fofana,France,
66,Ben Folami,Australia,
66,Chris Forino,England,
66,Alan Forrest,Scotland,
66,Craig Forsyth,Scotland,
66,Fortuño,Spain,
66,Daam Foulon,Belgium,
66,Abu Francis,Ghana,
66,Juan José Franco,Paraguay,
66,Guillaume François,Belgium,
66,Liam Fraser,Canada,
66,Hólmbert Aron Friðjónsson,Iceland,
66,Dominik Frieser,Austria,
66,Nils Fröling,Sweden,
66,Jeando Fuchs,Cameroon,
66,Joel Chima Fujita,Japan,
66,Andrea Fulignati,Italy,
66,Juriën Gaari,Curaçao,
66,Adrián Gabbarini,Argentina,
66,Raymon Gaddis,United States,
66,Tomás Galván,Argentina,
66,Valerică Găman,Romania,
66,Jens Martin Gammelby,Denmark,
66,Silvère Ganvoula,Congo,
66,Luke Garbutt,England,
66,Borja Garcés,Spain,
66,Damián García,Uruguay,
66,Pablo García,Spain,
66,Joan García,Spain,
66,Mario Gargiulo,Italy,
66,Paul Gartler,Austria,
66,Lamine Gassama,Senegal,
66,Marcel Gaus,Germany,
66,Felix Gebhardt,Germany,
66,Turgay Gemicibaşı,Turkey,
66,Fabio Gerli,Italy,
66,Lamine Ghezali,France,
66,Iván Gil,Spain,
66,Nick Gillekens,Belgium,
66,Mark Gillespie,England,
66,Dylan Gissi,Switzerland,
66,Eddy Gnahoré,France,
66,Giorgi Gocholeishvili,Georgia,
66,Diego Gómez,Paraguay,
66,Iron Gomis,France,
66,Donatien Gomis,Senegal,
66,Marcelo González,Paraguay,
66,Peter,Spain,
66,Urko González,Spain,
66,Lynden Gooch,United States,
66,Liam Gordon,Scotland,
66,Jan Gorenc,Slovenia,
66,Felix Götze,Germany,
66,Pablo Gozálbez,Spain,
66,Jens Grahl,Germany,
66,Rhyan Grant,Australia,
66,André Green,England,
66,Ruan,Brazil,
66,Adriano Grimaldi,Germany,
66,Daniel Grimshaw,England,
66,Simone Grippo,Switzerland,
66,Darijo Grujčić,Austria,
66,Adrian Gryszkiewicz,Poland,
66,Juan Cruz Guasone,Argentina,
66,Raudy Guerrero,Venezuela,
66,Nesta Guinness-Walker,England,
66,Muhammed Gümüşkaya,Turkey,
66,Jostein Gundersen,Norway,
66,Julian Günther-Schmidt,Germany,
66,Ahmet Gürleyen,Germany,
66,Carl Gustafsson,Sweden,
66,Filipe Nascimento,Portugal,
66,Jon Guthrie,England,
66,Silvio Gutiérrez,Ecuador,
66,Daniel Gutiérrez,Chile,
66,Brad Guzan,United States,
66,Maxwell Gyamfi,Germany,
66,Giovanni Haag,France,
66,Maren Haile-Selassie,Switzerland,
66,Besar Halimi,Kosovo,
66,Lewis Hall,England,
66,George Hall,England,
66,Andy Halliday,Scotland,
66,Niko Hämäläinen,Finland,
66,Ben Hamer,England,
66,CJ Hamilton,Republic of Ireland,
66,Sergiu Hanca,Romania,
66,Simon Handle,Germany,
66,Mads Hansen,Denmark,
66,Daniel Hanslik,Germany,
66,Ryan Hardie,Scotland,
66,Marcus Harness,England,
66,Nathan Harriel,United States,
66,Mark Harris,Wales,
66,Ellis Harrison,Wales,
66,Haissem Hassan,France,
66,Tom Hateley,England,
66,Omar Hawsawi,Saudi Arabia,
66,Henrik Heggheim,Norway,
66,Jürgen Heil,Austria,
66,Juan José Heinze,Argentina,
66,Ramon Hendriks,Netherlands,
66,David Henen,Togo,
66,Gustav Henriksson,Sweden,
66,Óscar Hernández,Venezuela,
66,Ibrahim Hesar,Argentina,
66,Perparim Hetemaj,Finland,
66,James Hill,England,
66,Lukas Hinterseer,Austria,
66,Leo Hjelde,Norway,
66,Dominik Hładun,Poland,
66,Noah Jean Holm,Norway,
66,Frederik Holst,Denmark,
66,Jason Holt,Scotland,
66,Siebe Horemans,Belgium,
66,Jizz Hornkamp,Netherlands,
66,Jordan Houghton,England,
66,Jeroen Houwen,Netherlands,
66,Sam Hughes,England,
66,Daan Huisman,Netherlands,
66,Hwang In Jae,Korea Republic,
66,Paul Iacob,Romania,
66,Matías Ibáñez,Argentina,
66,Cesar Ibañez,Argentina,
66,Wilson Ibarrola,Paraguay,
66,Luka Ilić,Serbia,
66,Tomoki Imai,Japan,
66,Pablo Iñiguez,Spain,
66,Manuel Insaurralde,Argentina,
66,Nikita Iosifov,Russia,
66,Alessio Iovine,Italy,
66,Harry Isted,England,
66,Iturbe,Spain,
66,Juan Manuel Izquierdo,Uruguay,
66,Sebastian Jacob,Germany,
66,Valentin Jacob,France,
66,Joe Jacobson,Wales,
66,Marin Jakoliš,Croatia,
66,Rafał Janicki,Poland,
66,Isak Jansson,Sweden,
66,Erik Janža,Slovenia,
66,Maudo Lamine Jarjué,Gambia,
66,Paweł Jaroszyński,Poland,
66,Sylvester Jasper,Bulgaria,
66,Daniel Jebbison,England,
66,James Jeggo,Australia,
66,Victor Jensen,Denmark,
66,Ruben Yttergård Jenssen,Norway,
66,Ulrik Yttergård Jenssen,Norway,
66,Jeong Jae Hee,Korea Republic,
66,Ignacio Jeraldino,Chile,
66,Jiang Zhipeng,China PR,
66,Dani Jiménez,Spain,
66,Marko Johansson,Sweden,
66,Oscar Johansson,Sweden,
66,Marvin Johnson,England,
66,Max Johnston,Scotland,
66,Lloyd Jones,England,
66,Derrick Jones,United States,
66,Edisson Jordanov,Bulgaria,
66,Marcelo Jorquera,Chile,
66,Jakub Jugas,Czech Republic,
66,Saeed Juma,United Arab Emirates,
66,Samuel Soares,Portugal,
66,Leonel Justiniano,Bolivia,
66,Manu Justo,Spain,
66,Lukas Jutkiewicz,England,
66,Elvis Kabashi,Albania,
66,Chris Kablan,Switzerland,
66,Kevin Kabran,Sweden,
66,Jakub Kadak,Slovakia,
66,Junior Kadile,France,
66,Kylian Kaïboué,France,
66,Otar Kakabadze,Georgia,
66,Anthony Kalik,Australia,
66,Lindrit Kamberi,Switzerland,
66,Aboubakary Kanté,Gambia,
66,Cebrail Karayel,Turkey,
66,Oleksiy Kaschuk,Ukraine,
66,Denso Kasius,Netherlands,
66,David Kasumu,Nigeria,
66,Aléxandros Katránis,Greece,
66,Kévin Keben,Cameroon,
66,Ákos Kecskés,Hungary,
66,Thomas Keller,Germany,
66,Marvin Keller,Switzerland,
66,Stephen Kelly,Scotland,
66,Liam Kelly,Scotland,
66,Frankie Kent,England,
66,Philippe Paulin Keny,Senegal,
66,Luca Kerber,Germany,
66,Liam Kerrigan,Republic of Ireland,
66,Roman Kerschbaum,Austria,
66,Konstantin Kerschbaumer,Austria,
66,Kerem Kesgin,Turkey,
66,Josh Key,England,
66,Salim Khelifi,Tunisia,
66,Abdukodir Khusanov,Uzbekistan,
66,Guy-Marcelin Kilama,Cameroon,
66,Kim Jin Ya,Korea Republic,
66,Kim Gyeong Min,Korea Republic,
66,Kim Tae Hwan,Korea Republic,
66,Kim Bo Kyung,Korea Republic,
66,Kim Dong Min,Korea Republic,
66,Kim Geon Woong,Korea Republic,
66,Leon King,Scotland,
66,Orestis Kiomourtzoglou,Germany,
66,Peter Kioso,Republic of Ireland,
66,Yann Kitala,France,
66,Eric Bugale Kitolano,Norway,
66,Mathias Kjølø,Norway,
66,Sebastian Klaas,Germany,
66,Klaus,Brazil,
66,Philipp Klewin,Germany,
66,Harvey Knibbs,England,
66,Yuki Kobayashi,Japan,
66,Luca Warrick Koleosho,Italy,
66,Dimitrios Kolovetsios,Greece,
66,Gilbert Koomson,Ghana,
66,Peer Koopmeiners,Netherlands,
66,Patrick Koronkiewicz,Germany,
66,Luka Krajnc,Slovenia,
66,Joris Kramer,Netherlands,
66,Blaž Kramer,Slovenia,
66,Bledian Krasniqi,Switzerland,
66,Anton Krešić,Croatia,
66,Dmytro Kryskiv,Ukraine,
66,Lukas Kunze,Germany,
66,Rafał Kurzawa,Poland,
66,Stefan Kutschke,Germany,
66,Kwon Hyeok Kyu,Korea Republic,
66,Jakub Łabojko,Poland,
66,Gustaf Lagerbielke,Sweden,
66,Fynn Lakenmacher,Germany,
66,Eugenio Lamanna,Italy,
66,Macaulay Langstaff,England,
66,Eric Lanini,Italy,
66,Lassi Lappalainen,Finland,
66,Enzo Larrosa,Uruguay,
66,Japhet Sery Larsen,Denmark,
66,Mads Lauritsen,Denmark,
66,Joaquín Lavega,Uruguay,
66,Jamie Lawrence,Germany,
66,David Lazar,Romania,
66,Matías Lazo,Peru,
66,Florian Le Joncour,France,
66,Luke Le Roux,South Africa,
66,Orest Lebedenko,Ukraine,
66,Lee Ju Yong,Korea Republic,
66,Kelvin Leerdam,Suriname,
66,Mateusz Łęgowski,Poland,
66,Julian Lelieveld,Netherlands,
66,Nunzio Lella,Italy,
66,Tim Lemperle,Germany,
66,Enzo Leopold,Germany,
66,Kevin Lewis,Uruguay,
66,Jonathan Lewis,United States,
66,Li Ang,China PR,
66,Bryan Limbombe,Belgium,
66,Jaylin Lindsey,United States,
66,Evert Linthorst,Netherlands,
66,Marcin Listkowski,Poland,
66,Liu Yang,China PR,
66,Percy Liza,Peru,
66,Ivan Ljubić,Austria,
66,Lenny Lobato,Brazil,
66,Lobete,Spain,
66,Niklas Lomb,Germany,
66,Enzo Lombardo,France,
66,Ryan Longman,England,
66,Nigel Lonwijk,Netherlands,
66,Roberto Lopes,Cape Verde Islands,
66,Fran Manzanara,Spain,
66,Sayfallah Ltaief,Tunisia,
66,Williams Lugo,Venezuela,
66,Jakub Łukowski,Poland,
66,Daniel Luna,Colombia,
66,Julian Faye Lund,Norway,
66,Valgeir Lunddal,Iceland,
66,Adam Lundqvist,Sweden,
66,Rafael Lutiger,Peru,
66,Thierry Lutonda,Belgium,
66,Jay Lynch,England,
66,Luís Mata,Portugal,
66,Ignacio Maestro Puch,Argentina,
66,Abdussalam Magashy,Nigeria,
66,Sean Maguire,Republic of Ireland,
66,Jack Maher,United States,
66,Sebastian Mai,Germany,
66,Lars Lukas Mai,Germany,
66,Christian Makoun,Venezuela,
66,Cebrail Makreckis,Latvia,
66,Daniel Maldini,Italy,
66,Joël Mall,Cyprus,
66,Streli Mamba,Germany,
66,Juan Mancín,Venezuela,
66,Roger Manrique,Venezuela,
66,Brian Mansilla,Uruguay,
66,César Lobi Manzoki,Central African Republic,
66,JT Marcinkowski,United States,
66,Jack Marriott,England,
66,Luca Marseiler,Germany,
66,Ronaldo Martínez,Paraguay,
66,Miguel Ángel Martínez,Paraguay,
66,Fernando Martínez,Paraguay,
66,Felipe,Brazil,
66,Javi Martón,Spain,
66,Gaetano Masucci,Italy,
66,Alexandru Mățan,Romania,
66,Cosmin Matei,Romania,
66,Alexandru Mateiu,Romania,
66,Marcus Mathisen,Denmark,
66,Anthony Matos,Venezuela,
66,José Mauri,Italy,
66,Adrian Mazilu,Romania,
66,Amadou Mbengue,Senegal,
66,John McCarthy,United States,
66,Josh McEachran,England,
66,Yaimar Medina,Ecuador,
66,Joshua Mees,Germany,
66,Marcel Mehlem,Germany,
66,Jonathan Meier,Germany,
66,Thomas Meißner,Germany,
66,Robin Meißner,Germany,
66,Tim Melia,United States,
66,Víctor Mendoza,Ecuador,
66,Mehdi Merghem,France,
66,David Miculescu,Romania,
66,Jorge Mier,Spain,
66,Javi Mier,Spain,
66,Alex Mighten,England,
66,Daniel Mikić,Germany,
66,Juan Millán,Uruguay,
66,Sota Mino,Japan,
66,Leonardo Rocha,Portugal,
66,Damon Mirani,Netherlands,
66,Bogdan Mitrea,Romania,
66,Kevin Molino,Trinidad and Tobago,
66,Nacho Monsalve,Spain,
66,Juan Montenegro,Bolivia,
66,Jefferson Montero,Ecuador,
66,Lucas Monzón,Brazil,
66,Pol Moreno,Spain,
66,Dani Morer,Spain,
66,Leandro Morgalla,Germany,
66,Nicolás Morgantini,Argentina,
66,Aaron Morley,England,
66,Raúl Moro,Spain,
66,Ravel Morrison,Jamaica,
66,Ariel Mosór,Poland,
66,Fabián Mosquera,Colombia,
66,Juan David Mosquera,Colombia,
66,Aimen Moueffek,France,
66,Jonathan Moya,Costa Rica,
66,Lionel Mpasi,Congo DR,
66,Ernest Muçi,Albania,
66,Arbnor Mucolli,Albania,
66,Erwin Mulder,Netherlands,
66,Rodrigo Muñoz,Uruguay,
66,Luis Muñoz,Spain,
66,David Murillo,Colombia,
66,Derry John Murkin,England,
66,Anthony Musaba,Netherlands,
66,Benito,Nigeria,
66,Alex Muyl,United States,
66,Tristan Muyumba,France,
66,Moussa N'Diaye,Senegal,
66,Andrew Nabbout,Australia,
66,Yuta Nakayama,Japan,
66,Adi Nalić,Bosnia and Herzegovina,
66,Gonzalo Nápoli,Uruguay,
66,Gian Nardelli,Argentina,
66,Ivan Näsberg,Norway,
66,Álvaro Navarro,Uruguay,
66,Julián Navas,Argentina,
66,Basilio Ndong,Equatorial Guinea,
66,Alioune Ndour,Senegal,
66,Ionuț Neagu,Romania,
66,John Nelson,United States,
66,Jayden Nelson,Canada,
66,Jakob Nerwinski,United States,
66,Ruslan Neshcheret,Ukraine,
66,Maurice Neubauer,Germany,
66,João Virgínia,Portugal,
66,Babacar Niasse,Mauritania,
66,Byron Nieto,Chile,
66,Miloš Ninković,Serbia,
66,Nikoloz Ninua,Georgia,
66,Josh Nisbet,Australia,
66,Alexander Nollenberger,Germany,
66,Ollie Norburn,Grenada,
66,Osnar Noronha,Peru,
66,Brooke Norton-Cuffy,England,
66,Tijjani Noslin,Netherlands,
66,Toto Nsiala,Congo DR,
66,Abdul Manaf Nurudeen,Ghana,
66,Antonio Nusa,Norway,
66,Benjamin Nygren,Sweden,
66,Jake O'Brien,Republic of Ireland,
66,Warren O'Hora,Republic of Ireland,
66,Daniel O'Shaughnessy,Finland,
66,Johann Obiang,Gabon,
66,Jordan Obita,England,
66,Hakeem Odoffin,England,
66,Mohamed Ofkir,Norway,
66,Ebenezer Ofori,Ghana,
66,Nathanael Ogbeta,England,
66,Agustín Ojeda,Argentina,
66,Angel Ojeda,Peru,
66,Bryan Okoh,Switzerland,
66,Arthur Okonkwo,England,
66,Mathias Olesen,Luxembourg,
66,Hélder Sá,Portugal,
66,Gonçalo Silva,Portugal,
66,Marcus Olsson,Sweden,
66,Răzvan Onea,Romania,
66,Nicholas Opoku,Ghana,
66,Joel Ordoñez,Ecuador,
66,Roberto Ordóñez,Ecuador,
66,Charlis Ortiz,Venezuela,
66,Peter Ouaneh,France,
66,Aziz Ouattara,Côte d'Ivoire,
66,Shady Oukhadda,Morocco,
66,Alpaslan Öztürk,Turkey,
66,Marlon Pack,England,
66,Manuel Palacios,Colombia,
66,Cole Palmer,England,
66,Radovan Pankov,Serbia,
66,Alexandru Pantea,Romania,
66,Sotirios Papagiannopoulos,Sweden,
66,Joaquín Papaleo,Argentina,
66,Jayson Papeau,France,
66,Merveille Papela,Germany,
66,Park Soo Il,Korea Republic,
66,Álex Pastor,Spain,
66,Nicola Pavan,Italy,
66,Nehuén Paz,Argentina,
66,Daouda Peeters,Belgium,
66,Mauro Peinipil,Argentina,
66,Théo Pellenard,France,
66,Lee Peltier,England,
66,Philipp Pentke,Germany,
66,Pietro Perdichizzi,Belgium,
66,Andrés Perea,United States,
66,Luis Perea,Spain,
66,Daniel Pereira,Venezuela,
66,Panutche Camará,Guinea-Bissau,
66,Matheus Pereira,Brazil,
66,João Queirós,Portugal,
66,Nuno Reis,Portugal,
66,Rodrigo Pérez,Uruguay,
66,Kevin Pérez,Colombia,
66,Maximiliano Perg,Uruguay,
66,Manuel Pfeifer,Austria,
66,Romain Philippoteaux,France,
66,Killian Phillips,Republic of Ireland,
66,Carl Piergianni,England,
66,Kik Pierie,Netherlands,
66,Shaquille Pinas,Suriname,
66,Lenny Pintor,France,
66,Lucas Pirard,Belgium,
66,Alexi Pitu,Romania,
66,Júnior Pius,Nigeria,
66,Semuel Pizzignacco,Italy,
66,Thomas Pledl,Germany,
66,Ole Pohlmann,Germany,
66,Ernest Poku,Netherlands,
66,Robert Popa,Romania,
66,Laurențiu Popescu,Romania,
66,Ovidiu Popescu,Romania,
66,Alvas Powell,Jamaica,
66,Mateusz Praszelik,Poland,
66,Nik Prelec,Slovenia,
66,Christophe Psyché,France,
66,Miguel Puche,Spain,
66,Afimico Pululu,Angola,
66,Qian Jiegei,China PR,
66,Giacomo Quagliata,Italy,
66,Daniel Queipo,Spain,
66,Diogo Queirós,Portugal,
66,Yuber Quiñones,Colombia,
66,Wilson Quiñónez,Paraguay,
66,Yeferson Quintana,Uruguay,
66,Joel Quintero,Ecuador,
66,Franco Quinteros,Argentina,
66,Aarón Quirós,Argentina,
66,Sean Raggett,England,
66,Marko Raguž,Austria,
66,Michał Rakoczy,Poland,
66,Rubén Ramírez,Venezuela,
66,Adam Randell,England,
66,Cornel Râpă,Romania,
66,Damian Rasak,Poland,
66,Christiaan Ravych,Belgium,
66,Djorkaeff Reasco,Ecuador,
66,Youri Regeer,Netherlands,
66,Edisson Restrepo,Colombia,
66,Taylor Richards,England,
66,Tim Rieder,Germany,
66,Søren Rieks,Denmark,
66,Connor Ripley,England,
66,Roope Riski,Finland,
66,Lars Ritzka,Germany,
66,José Rivera,Peru,
66,Daniel Rivillo,Venezuela,
66,Matías Rocha,Uruguay,
66,Ribair Rodríguez,Uruguay,
66,Axel Rodríguez,Argentina,
66,Ignacio Rodríguez,Uruguay,
66,Gastón Rodríguez,Uruguay,
66,Pablo Rodríguez,Spain,
66,Rayco,Spain,
66,Víctor Rodríguez,Spain,
66,Miguel Rodríguez,Spain,
66,Samuel Rogers,United States,
66,Filip Rogić,Sweden,
66,Ante Roguljić,Croatia,
66,Daniel Rojas,Bolivia,
66,Juan Diego Rojas,Ecuador,
66,Ole Romeny,Netherlands,
66,Ruben Roosken,Netherlands,
66,Siro Rosane,Argentina,
66,Guille Rosas,Spain,
66,Max Rosenfelder,Germany,
66,Mathias Ross,Denmark,
66,Matheus Rossetto,Brazil,
66,Leândro,Brazil,
66,Alexander Rossipal,Germany,
66,Baptiste Roux,France,
66,Jonathan Rowe,England,
66,Pirulo,Spain,
66,Jesús Ruiz,Spain,
66,Milan Rundić,Serbia,
66,Elias Saad,Tunisia,
66,Alexis Sabella,Argentina,
66,Noah Sadaoui,Morocco,
66,Görkem Sağlam,Turkey,
66,Semih Sahin,Germany,
66,Raphael Sallinger,Austria,
66,Cris Salvador,Spain,
66,Lars-Jørgen Salvesen,Norway,
66,San Román,Spain,
66,Tobias Sana,Sweden,
66,Alvyn Sanches,Switzerland,
66,Erwin Junior Sánchez,Bolivia,
66,Diego Sánchez,Spain,
66,Simon Sandberg,Sweden,
66,Marco Sangalli,Spain,
66,Pedro Amador,Portugal,
66,Vinko Sapina,Germany,
66,CJ Sapong,United States,
66,Marco Saravia,Peru,
66,Killian Sardella,Belgium,
66,Mamadou Sarr,France,
66,Alexis Sauvage,France,
66,Gökhan Sazdağı,Turkey,
66,Liam Scales,Republic of Ireland,
66,Jasper Schendelaar,Netherlands,
66,Giancarlo Schiavone,Venezuela,
66,Raphael Schifferl,Austria,
66,Patrick Schmidt,Germany,
66,Augusto Schott,Argentina,
66,Tobias Schröck,Germany,
66,Morris Schröter,Germany,
66,Luca Schuler,Germany,
66,Patrick Schulte,United States,
66,Michael Schultz,Germany,
66,Markus Schwabl,Germany,
66,Petr Schwarz,Czech Republic,
66,Iker Seguín,Spain,
66,Matthias Seidl,Austria,
66,Václav Sejk,Czech Republic,
66,Batuhan Şen,Turkey,
66,Seo Young Jae,Korea Republic,
66,Cemali Sertel,Turkey,
66,Nicolás Servetto,Argentina,
66,Yoan Severin,France,
66,Jacob Shaffelburg,Canada,
66,Liam Shaw,England,
66,Jordan Shipley,Republic of Ireland,
66,Nicklas Shipnoski,Germany,
66,Ilya Shkurin,Belarus,
66,Raz Shlomo,Israel,
66,Armindo Sieb,Germany,
66,Nicholas Siega,Italy,
66,Rúnar Már Sigurjónsson,Iceland,
66,Miguel Silva,Venezuela,
66,Denis Simani,Albania,
66,Scott Sinclair,England,
66,José Luis Sinisterra,Colombia,
66,Olaus Jair Skarsem,Norway,
66,Ari Skúlason,Iceland,
66,Naatan Skyttä,Finland,
66,Gabriel Slonina,United States,
66,Korey Smith,England,
66,Sam Smith,England,
66,Kyle Smith,United States,
66,Franco Soldano,Argentina,
66,Edoardo Soleri,Italy,
66,Matteo Solini,Italy,
66,Adam Sørensen,Denmark,
66,Joaquín Sosa,Uruguay,
66,Sambou Soumano,Senegal,
66,Luke Southwood,Northern Ireland,
66,Lucas Souto,Argentina,
66,Gianni Stensness,Australia,
66,Patryk Stępiński,Poland,
66,Basil Stillhart,Switzerland,
66,Dejan Stojanović,North Macedonia,
66,Finn Stokkers,Netherlands,
66,Petter Strand,Norway,
66,John-Patrick Strauß,Philippines,
66,Jared Stroud,United States,
66,Nikola Štulić,Serbia,
66,Yeison Suárez,Colombia,
66,Anssi Suhonen,Finland,
66,Toichi Suzuki,Japan,
66,Svensson,Spain,
66,Habib Sylla,Côte d'Ivoire,
66,Eddy Sylvestre,France,
66,Michał Szromnik,Poland,
66,Jakub Szumski,Poland,
66,Filip Szymczak,Poland,
66,Edvard Sandvik Tagseth,Norway,
66,Tang Xin,China PR,
